Vertices,Dijkstra (Sparse),Dijkstra (Dense),Floyd-Warshall (Sparse),Floyd-Warshall (Dense)
10,3.409385681152344e-05,2.8848648071289062e-05,0.00034999847412109375,0.0003876686096191406
30,0.0001556873321533203,0.0001678466796875,0.00799107551574707,0.009960651397705078
50,0.00041103363037109375,0.0004420280456542969,0.0389554500579834,0.04115772247314453
70,0.0007941722869873047,0.0008752346038818359,0.10851478576660156,0.1112511157989502
90,0.0012254714965820312,0.0013763904571533203,0.22585535049438477,0.23248815536499023
110,0.0018129348754882812,0.0020537376403808594,0.4259006977081299,0.43265557289123535
130,0.0025017261505126953,0.003709077835083008,0.6905627250671387,0.699620246887207
150,0.0038411617279052734,0.004384517669677734,1.053762435913086,1.0681068897247314
170,0.005408763885498047,0.005658388137817383,1.5328125953674316,1.5567731857299805
190,0.006381034851074219,0.006703853607177734,2.1733880043029785,2.1674349308013916
